"Name","input dim 2","_wandb","accuracy"
"solar-tree-180","2","","0.75361567735672"
"misty-butterfly-179","2","","0.752754807472229"
"charmed-sponge-178","2","","0.7505165338516235"
"comic-serenity-177","2","","0.8317837715148926"
"brisk-cloud-176","2","","0.7517217397689819"
"fresh-totem-175","2","","0.852617084980011"
"legendary-firebrand-174","2","","0.5964187383651733"
"winter-fire-173","2","","0.6713154315948486"
"electric-silence-172","2","","0.7520661354064941"
"glowing-spaceship-171","2","","0.5934917330741882"
"fresh-valley-170","4","","0.9256198406219482"
"cool-sky-169","4","","0.9204545617103576"
"efficient-wave-168","4","","0.9211432337760924"
"trim-dawn-167","4","","0.9201101660728456"
"stellar-elevator-166","4","","0.9256198406219482"
"revived-valley-165","4","","0.9202823638916016"
"lemon-oath-164","4","","0.8906680345535278"
"wild-waterfall-163","4","","0.9247589707374572"
"deft-fire-162","4","","0.8896349668502808"
"fancy-waterfall-161","4","","0.8939393758773804"
"fluent-water-160","7","","0.9497244954109192"
"lunar-planet-159","7","","0.9526515007019044"
"sweet-gorge-158","7","","0.9493801593780518"
"exalted-pine-157","7","","0.9486914873123168"
"brisk-galaxy-156","7","","0.9323347210884094"
"devout-bee-155","7","","0.9469696879386902"
"prime-leaf-154","7","","0.9419766068458556"
"dry-snowflake-153","7","","0.9488636255264282"
"northern-durian-152","7","","0.9469696879386902"
"colorful-sponge-151","7","","0.9325068593025208"
"wandering-frog-150","13","","0.9638429880142212"
"peach-cosmos-149","13","","0.9638429880142212"
"spring-frost-148","13","","0.9576446413993835"
"crimson-silence-147","13","","0.9576446413993835"
"stoic-glitter-146","13","","0.957988977432251"
"confused-brook-145","13","","0.9660812616348268"
"floral-darkness-144","13","","0.9621211886405944"
"comfy-elevator-143","13","","0.9636707901954652"
"light-violet-142","13","","0.95712810754776"
"clean-grass-141","13","","0.9638429880142212"
"daily-vortex-140","19","","0.9684917330741882"
"breezy-energy-139","19","","0.9714187383651732"
"rose-mountain-138","19","","0.9712465405464172"
"efficient-snowflake-137","19","","0.9717630743980408"
"lively-sponge-136","19","","0.9722796082496644"
"dashing-pine-135","19","","0.9629821181297302"
"devout-sea-134","19","","0.9727961421012878"
"dandy-paper-133","19","","0.9715909361839294"
"polar-night-132","19","","0.9678030014038086"
"drawn-pine-131","19","","0.9707300066947936"
"vivid-sea-130","21","","0.975895345211029"
"swift-elevator-129","21","","0.9783057570457458"
"eager-mountain-128","21","","0.9714187383651732"
"valiant-music-127","21","","0.975895345211029"
"cerulean-snowflake-126","21","","0.9752066135406494"
"divine-sky-125","21","","0.9750344157218932"
"spring-wave-124","21","","0.9755509495735168"
"fresh-bush-123","21","","0.9801997542381288"
"celestial-violet-122","21","","0.9726239442825316"
"electric-plant-121","21","","0.9714187383651732"
"likely-sound-120","23","","0.9777892827987672"
"zany-thunder-119","23","","0.9755509495735168"
"true-fog-118","23","","0.9760674834251404"
"eager-dust-117","23","","0.9798553586006165"
"firm-valley-116","23","","0.9753788113594056"
"spring-glade-115","23","","0.9810606241226196"
"dry-plasma-114","23","","0.9743457436561584"
"super-plasma-113","23","","0.978650152683258"
"polished-donkey-112","23","","0.9740013480186462"
"celestial-elevator-111","23","","0.9798553586006165"
"unique-wave-110","26","","0.98037189245224"
"eager-haze-109","26","","0.97675621509552"
"copper-hill-108","26","","0.977617084980011"
"sandy-lion-107","26","","0.9772727489471436"
"whole-star-106","26","","0.9760674834251404"
"amber-star-105","26","","0.9827823638916016"
"expert-smoke-104","26","","0.974690079689026"
"atomic-wave-103","26","","0.9815771579742432"
"gallant-pond-102","26","","0.9793388247489928"
"rural-dew-101","26","","0.97675621509552"
"fiery-waterfall-100","29","","0.9814049601554872"
"quiet-butterfly-99","29","","0.9843319654464722"
